Estimate summary									
Upfront cost	Monthly cost	Total 12 months cost	Currency						
0	6351.58	76218.96	USD						
		* Includes upfront cost							
									
									
Detailed Estimate									
Group hierarchy	Region	Description	Service	Upfront	Monthly	First 12 months total	Currency	Status	Configuration summary
My Estimate	US East (N. Virginia)		Amazon EC2 	0	48.253	579.04	USD		"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (t2.large), Pricing strategy ( 1 Year  None upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate	US East (N. Virginia)		Amazon EC2 	0	48.253	579.04	USD		"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (t2.large), Pricing strategy ( 1 Year  None upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate	US East (N. Virginia)		Amazon RDS for MySQL	0	2632.48	31589.76	USD		"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Quantity (2), Instance type (db.m5.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate	US East (N. Virginia)		S3 Standard	0	230	2760	USD		S3 Standard storage (10000 GB per month)
My Estimate	US East (N. Virginia)		Data Transfer	0	0	0	USD		
My Estimate	US East (N. Virginia)		Amazon Route 53	0	1413.5	16962	USD		"Hosted Zones (2), Number of Elastic Network Interfaces (10)"
My Estimate	US East (N. Virginia)		Amazon CloudWatch	0	131.403	1576.84	USD		"Number of Metrics (includes detailed and custom metrics) (100), GetMetricData: Number of metrics requested (100), Standard Logs: Data Ingested (100 GB), Number of Lambda functions (10), Logs Delivered to CloudWatch Logs: Data Ingested (100 GB), GetMetricWidgetImage: Number of metrics requested (100), Expected Logs Data scanned (100 GB)"
My Estimate	US East (N. Virginia)		Amazon ElastiCache	0	996.45	11957.4	USD		"Nodes (0), Instance type (cache.r6gd.12xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Cache Engine (Redis), Cache Node Type (Memory optimized), Pricing strategy (OnDemand), Nodes (3), Instance type (cache.r4.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Cache Engine (Memcached), Cache Node Type (Memory optimized), Pricing strategy (OnDemand)"
My Estimate	US East (N. Virginia)		AWS Data Transfer	0	409.6	4915.2	USD		"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (20 TB per month), Data transfer cost (409.6)"
My Estimate	US East (N. Virginia)		Application Load Balancer	0	441.65	5299.8	USD		Number of Application Load Balancers (2)
									
									
									
Acknowledgement									
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."									
									
Reduced RDS MySQL m5.2xlarge									
Reduced EC2 t2.large									
